	Param_pair	p_value	FWER
1	SUVnorm_st-1_-_SUVnorm_st-3	0.00115	0.0034
2	SUVnorm_st-1_-_SUV1.3_st-1	0.0311	0.0487
3	SUVnorm_st-1_-_SUV10_st-1	0.00011	0.0005
4	SUVnorm_st-1_-_SUVmax_st-1	2e-05	0.0002
6	SUVnorm_st-1_-_TBR10_st-1	0.0001	0.0005
7	SUVnorm_st-1_-_TBRmax_st-1	0.0	0.0
8	SUVnorm_st-1_-_TMV1.3_st-1	6e-05	0.0004
9	SUVnorm_st-2_-_SUVnorm_st-3	0.01777	0.031
11	SUVnorm_st-2_-_SUV10_st-2	0.00091	0.0029
12	SUVnorm_st-2_-_SUVmax_st-2	0.0	0.0
14	SUVnorm_st-2_-_TBR10_st-2	0.00063	0.0024
15	SUVnorm_st-2_-_TBRmax_st-2	3e-05	0.0002
16	SUVnorm_st-2_-_TMV1.3_st-2	0.00134	0.0038
18	SUVnorm_st-3_-_SUV10_st-3	0.00048	0.0019
19	SUVnorm_st-3_-_SUVmax_st-3	0.0	0.0
21	SUVnorm_st-3_-_TBR10_st-3	0.00373	0.0086
22	SUVnorm_st-3_-_TBRmax_st-3	1e-05	0.0001
23	SUVnorm_st-3_-_TMV1.3_st-3	0.00811	0.0162
25	SUV1.3_st-1_-_SUV1.3_st-3	0.00032	0.0014
27	SUV1.3_st-1_-_SUVmax_st-1	0.00747	0.0152
30	SUV1.3_st-1_-_TBRmax_st-1	0.00322	0.0077
31	SUV1.3_st-1_-_TMV1.3_st-1	0.00021	0.0009
32	SUV1.3_st-2_-_SUV1.3_st-3	0.00365	0.0086
34	SUV1.3_st-2_-_SUVmax_st-2	2e-05	0.0002
37	SUV1.3_st-2_-_TBRmax_st-2	0.00124	0.0036
38	SUV1.3_st-2_-_TMV1.3_st-2	0.002	0.0053
39	SUV1.3_st-3_-_SUV10_st-3	0.01938	0.0332
40	SUV1.3_st-3_-_SUVmax_st-3	5e-05	0.0003
41	SUV1.3_st-3_-_TBR1.3_st-3	0.00594	0.0126
43	SUV1.3_st-3_-_TBRmax_st-3	0.00072	0.0025
44	SUV1.3_st-3_-_TMV1.3_st-3	0.01224	0.0224
46	SUV10_st-1_-_SUV10_st-3	0.0001	0.0005
48	SUV10_st-1_-_TBR1.3_st-1	0.00065	0.0024
51	SUV10_st-1_-_TMV1.3_st-1	0.00092	0.0029
52	SUV10_st-2_-_SUV10_st-3	0.00302	0.0074
53	SUV10_st-2_-_SUVmax_st-2	0.02227	0.0364
54	SUV10_st-2_-_TBR1.3_st-2	0.00147	0.004
57	SUV10_st-2_-_TMV1.3_st-2	0.00416	0.0092
59	SUV10_st-3_-_TBR1.3_st-3	1e-05	0.0001
62	SUV10_st-3_-_TMV1.3_st-3	0.02715	0.0431
63	SUVmax_st-1_-_SUVmax_st-2	0.00826	0.0162
64	SUVmax_st-1_-_SUVmax_st-3	0.0	0.0
65	SUVmax_st-1_-_TBR1.3_st-1	0.0001	0.0005
68	SUVmax_st-1_-_TMV1.3_st-1	0.00212	0.0055
69	SUVmax_st-2_-_SUVmax_st-3	0.00424	0.0092
70	SUVmax_st-2_-_TBR1.3_st-2	0.0	0.0
71	SUVmax_st-2_-_TBR10_st-2	0.02413	0.0389
73	SUVmax_st-2_-_TMV1.3_st-2	0.01125	0.0209
74	SUVmax_st-3_-_TBR1.3_st-3	0.0	0.0
75	SUVmax_st-3_-_TBR10_st-3	0.01585	0.0281
79	TBR1.3_st-1_-_TBR1.3_st-3	0.01578	0.0281
80	TBR1.3_st-1_-_TBR10_st-1	0.00075	0.0025
81	TBR1.3_st-1_-_TBRmax_st-1	3e-05	0.0002
82	TBR1.3_st-1_-_TMV1.3_st-1	7e-05	0.0004
84	TBR1.3_st-2_-_TBR10_st-2	0.00105	0.0032
85	TBR1.3_st-2_-_TBRmax_st-2	5e-05	0.0003
86	TBR1.3_st-2_-_TMV1.3_st-2	0.00136	0.0038
87	TBR1.3_st-3_-_TBR10_st-3	0.00012	0.0006
88	TBR1.3_st-3_-_TBRmax_st-3	0.0	0.0
89	TBR1.3_st-3_-_TMV1.3_st-3	0.00638	0.0133
91	TBR10_st-1_-_TBR10_st-3	0.00045	0.0019
93	TBR10_st-1_-_TMV1.3_st-1	0.00074	0.0025
94	TBR10_st-2_-_TBR10_st-3	0.02217	0.0364
96	TBR10_st-2_-_TMV1.3_st-2	0.00424	0.0092
98	TBR10_st-3_-_TMV1.3_st-3	0.02066	0.0349
100	TBRmax_st-1_-_TBRmax_st-3	3e-05	0.0002
101	TBRmax_st-1_-_TMV1.3_st-1	0.00245	0.0062
102	TBRmax_st-2_-_TBRmax_st-3	0.01023	0.0194
103	TBRmax_st-2_-_TMV1.3_st-2	0.00853	0.0165
