	1-st	2-st	3-st	2-1	3-2	3-1
SUVnorm-st	(-0.03, 0.86)	(0.06, 0.67)	(0.04, 0.8)			
SUVnorm-1				(-0.04, 0.76)		(-0.05, 0.74)
SUVnorm-2					(0.07, 0.64)	
SUVnorm-3						
SUV1.3-st	(0.4, 0.0)	(0.24, 0.08)	(0.26, 0.07)			
SUV1.3-1				(0.22, 0.12)		(0.26, 0.06)
SUV1.3-2					(0.28, 0.05)	
SUV1.3-3						
SUV10-st	(0.58, 0.0)	(0.57, 0.0)	(0.69, 0.0)			
SUV10-1				(0.57, 0.0)		(0.71, 0.0)
SUV10-2					(0.52, 0.0)	
SUV10-3						
SUVmax-st	(0.5, 0.0)	(0.32, 0.02)	(0.44, 0.0)			
SUVmax-1				(0.49, 0.0)		(0.58, 0.0)
SUVmax-2					(0.54, 0.0)	
SUVmax-3						
TBR1.3-st	(0.26, 0.07)	(0.12, 0.4)	(0.18, 0.21)			
TBR1.3-1				(0.37, 0.01)		(0.42, 0.0)
TBR1.3-2					(0.06, 0.66)	
TBR1.3-3						
TBR10-st	(0.44, 0.0)	(0.58, 0.0)	(0.58, 0.0)			
TBR10-1				(0.52, 0.0)		(0.59, 0.0)
TBR10-2					(0.44, 0.0)	
TBR10-3						
TBRmax-st	(0.37, 0.01)	(0.4, 0.0)	(0.39, 0.0)			
TBRmax-1				(0.54, 0.0)		(0.52, 0.0)
TBRmax-2					(0.43, 0.0)	
TBRmax-3						
TMV1.3-st	(0.58, 0.0)	(0.35, 0.01)	(0.77, 0.0)			
TMV1.3-1				(0.62, 0.0)		(0.78, 0.0)
TMV1.3-2					(0.65, 0.0)	
TMV1.3-3						
